Disease,Description,Symptoms,Treatment
Psoriasis,"Psoriasis is a chronic autoimmune condition that primarily affects the skin, causing it to grow too quickly. This leads to the buildup of thick, scaly patches called plaques. These plaques can appear anywhere on the body but are most commonly found on the elbows, knees, scalp, and lower back.","Red patches of skin covered with thick, silvery scales, dry and cracked skin that may bleed, itching, burning, or soreness, thickened or ridged nails, and swollen and stiff joints.","Topical treatments like corticosteroids, vitamin D analogs, salicylic acid, and coal tar"
Varicose Veins,"Varicose veins are enlarged, twisted veins that commonly occur in the legs and feet due to increased pressure in the veins. They often appear as blue or dark purple and can be raised above the surface of the skin.","Aching, heavy, or uncomfortable legs, swollen feet and ankles, burning or throbbing in the legs, muscle cramps, particularly at night, dry, itchy, and thin skin over the affected vein, and in severe cases, skin discoloration or ulcers around the ankles.","Lifestyle changes such as exercising regularly, losing weight, avoiding long periods of standing or sitting, elevating the legs, and wearing compression stockings can help manage the condition."
Typhoid,Typhoid fever is a serious infectious disease caused by the bacterium Salmonella Typhi. It spreads through contaminated food and water and is most prevalent in areas with poor sanitation and hygiene.,"Initial symptoms include sustained high fever, weakness, fatigue, headache, and loss of appetite. As the disease progresses, other symptoms may appear, such as abdominal pain, diarrhea or constipation, a rash with rose-colored spots, an enlarged spleen or liver, and in severe cases, confusion, delirium, and intestinal bleeding or perforation.","Treatment for typhoid fever primarily involves antibiotics to kill the bacteria. Commonly used antibiotics include ciprofloxacin, azithromycin, and ceftriaxone."
Chicken pox,"Chickenpox, also known as varicella, is a highly contagious viral infection caused by the varicella-zoster virus (VZV). It predominantly affects children but can occur at any age. The infection is characterized by an itchy rash that turns into fluid-filled blisters and eventually scabs over.","The initial symptoms of chickenpox include fever, tiredness, loss of appetite, and headache. These symptoms are soon followed by the development of a red, itchy rash that starts on the face, chest, and back before spreading to the rest of the body","Common approaches include the use of antihistamines or calamine lotion to reduce itching, acetaminophen (paracetamol) for fever and pain relief, and maintaining good hygiene to prevent secondary bacterial infections."
Impetigo,"Impetigo is a common and highly contagious bacterial skin infection that primarily affects infants and young children but can occur at any age. It is characterized by red sores on the face, especially around the nose and mouth, and on hands and feet.","The symptoms of impetigo include red sores that quickly rupture, ooze for a few days, and then form a honey-colored crust. The sores are often itchy and can spread to other parts of the body through scratching","Mild cases can often be treated with topical antibiotics like mupirocin or retapamulin, which are applied directly to the affected areas. For more severe or widespread infections, oral antibiotics such as dicloxacillin, cephalexin, or clindamycin may be prescribed"
Dengue,"Dengue fever is a mosquito-borne viral infection that causes flu-like illness and can sometimes develop into severe dengue, also known as dengue hemorrhagic fever or dengue shock syndrome, which can be life-threatening.","The initial symptoms include a sudden high fever, severe headaches, pain behind the eyes, severe joint and muscle pain, fatigue, nausea, vomiting, and a skin rash that appears two to five days after the onset of fever.","Management focuses on relieving symptoms and includes rest, adequate fluid intake to prevent dehydration, and medications like acetaminophen (paracetamol) to reduce fever and pain."
Fungal infection,"Fungal infections, also known as mycoses, are caused by various types of fungi that can affect different parts of the body. These infections can range from superficial, affecting the skin, nails, and hair, to systemic, impacting internal organs.","Red, itchy, and peeling skin between the toes, often accompanied by a burning sensation,Ring-shaped, red, and scaly patches on the skin that are often itchy.","Creams, ointments, or powders applied directly to the affected area, such as clotrimazole, miconazole, or terbinafine, are commonly used for skin infections."
Common Cold,"The common cold is a viral infection of the upper respiratory tract, primarily affecting the nose and throat.","Symptoms of the common cold include a runny or stuffy nose, sneezing, sore throat, coughing, mild headache, body aches, and a general feeling of being unwell.","Ensuring adequate rest helps the body’s immune system fight off the infection,Decongestants (like pseudoephedrine) can help reduce nasal congestion, while antihistamines (like diphenhydramine) can relieve sneezing and runny nose."
Pneumonia,"Pneumonia is a serious lung infection that inflames the air sacs (alveoli) in one or both lungs, causing them to fill with fluid or pus.","Often producing phlegm or mucus, which may be green, yellow, or even bloody,Often high, accompanied by chills and sweating.","Usually resolves on its own, but antiviral medications may be prescribed in certain cases, such as influenza. Symptomatic treatment includes rest, fluids, and over-the-counter medications to relieve fever and pain."
Dimorphic Hemorrhoids,"Hemorrhoids, also known as piles, are swollen and inflamed veins in the lower rectum or anus. They can develop internally inside the rectum (internal hemorrhoids) or externally under the skin around the anus (external hemorrhoids).","Itching or irritation around the anus,Pain or discomfort, especially during bowel movements","Increasing fiber intake to soften stools and reduce straining, drinking plenty of fluids, and using over-the-counter creams or suppositories to relieve symptoms."
Arthritis,"Arthritis refers to a group of conditions involving inflammation of the joints. It can affect people of all ages and is characterized by symptoms such as joint pain, stiffness, swelling, and decreased range of motion.","Joint pain, stiffness, swelling, and decreased range of motion.","Treatment options vary but may include medications to reduce inflammation and pain, physical therapy to improve joint function and mobility, lifestyle changes like exercise and weight management, and in severe cases, surgery to repair or replace damaged joints."
